chemical,chemical_code
Naltrexone hydrochloride,0410030E0
Donepezil hydrochloride,0411000D0
Rivastigmine,0411000E0
Galantamine,0411000F0
Memantine hydrochloride,0411000G0
Benzylpenicillin sodium (Penicillin G),0501011J0
Phenoxymethylpenicillin (Penicillin V),0501011P0
Flucloxacillin sodium,0501012G0
Flucloxacillin magnesium,0501012H0
Temocillin sodium,0501012U0
Amoxicillin,0501013B0
Amoxicillin sodium,0501013C0
Ampicillin,0501013E0
Co-amoxiclav (Amoxicillin/clavulanic acid),0501013K0
Co-fluampicil(Flucloxacillin/ampicillin),0501013L0
Ticarcillin with clavulanic acid,0501014N0
Piperacillin sodium/tazobactam sodium,0501014S0
Pivmecillinam hydrochloride,0501015P0
Cefpirome sulfate,050102020
Cefprozil,0501020AA
Cefepime,0501020AD
Cefamandole,0501020T0
Cefazolin sodium,0501020V0
Cefaclor,0501021A0
Cefadroxil,0501021B0
Cefixime,0501021C0
Cefotaxime sodium,0501021D0
Cefoxitin sodium,0501021E0
Cefpodoxime,0501021F0
Ceftriaxone sodium,0501021G0
Ceftazidime pentahydrate,0501021H0
Cefuroxime sodium,0501021J0
Cefuroxime axetil,0501021K0
Cefalexin,0501021L0
Cefradine,0501021M0
Meropenem,0501022A0
Ertapenem sodium,0501022B0
Doripenem,0501022C0
Imipenem with cilastatin,0501022D0
Aztreonam,0501023A0
Demeclocycline hydrochloride,0501030F0
Doxycycline hyclate,0501030I0
Lymecycline,0501030L0
Minocycline hydrochloride,0501030P0
Oxytetracycline,0501030T0
Tetracycline,0501030V0
Tetracycline combined preparations,0501030X0
Tigecycline,0501030Y0
Doxycycline monohydrate,0501030Z0
Amikacin,0501040C0
Gentamicin sulfate,0501040H0
Neomycin sulfate,0501040N0
Netilmicin sulfate,0501040R0
Tobramycin,0501040U0
Azithromycin,0501050A0
Clarithromycin,0501050B0
Erythromycin,0501050C0
Erythromycin ethylsuccinate,0501050H0
Erythromycin lactobionate,0501050K0
Erythromycin stearate,0501050N0
Telithromycin,0501050T0
Clindamycin hydrochloride,0501060D0
Clindamycin phosphate,0501060E0
Taurolidine,0501070AA
Nitazoxanide,0501070AB
Fidaxomicin,0501070AC
Tedizolid,0501070AD
Fosfomycin trometamol,0501070AE
Dalbavancin hydrochloride,0501070AF
Chloramphenicol,0501070F0
Colistin sulfate,0501070H0
Colistimethate sodium,0501070I0
Fusidic acid,0501070M0
Sodium fusidate,0501070N0
Teicoplanin,0501070T0
Vancomycin hydrochloride,0501070U0
Quinupristin/dalfopristin,0501070V0
Linezolid,0501070W0
Rifaximin,0501070X0
Daptomycin,0501070Y0
Pristinamycin,0501070Z0
Co-trimoxazole(Trimethoprim/sulfamethoxazole),0501080D0
Sulfadiazine,0501080J0
Sulfamethoxypyridazine,0501080T0
Sulfapyridine,0501080V0
Trimethoprim,0501080W0
Aminosalicylic acid,0501090A0
Capreomycin,0501090C0
Cycloserine,0501090E0
Ethambutol hydrochloride,0501090H0
Ethionamide,0501090I0
Isoniazid,0501090K0
Pyrazinamide,0501090N0
Rifabutin,0501090Q0
Rifampicin,0501090R0
Rifampicin combined preparations,0501090S0
Streptomycin,0501090U0
Bedaquiline,0501090V0
Delamanid,0501090W0
Clofazimine,0501100C0
Dapsone,0501100H0
Thalidomide (Antileprotic),0501100J0
Metronidazole,0501110C0
Tinidazole,0501110G0
Ciprofloxacin,0501120L0
Nalidixic acid,0501120N0
Ofloxacin,0501120P0
Norfloxacin,0501120Q0
Levofloxacin,0501120X0
Moxifloxacin,0501120Y0
Methenamine hippurate,0501130H0
Nitrofurantoin,0501130R0
Fosfomycin calcium,0501130S0
Posaconazole,0502010A0
Fluconazole,0502010B0
Itraconazole,0502010C0
Voriconazole,0502010D0
Isavuconazole,0502010E0
Ketoconazole,0502020A0
Amphotericin,0502030A0
Nystatin,0502030B0
Anidulafungin,0502040A0
Micafungin,0502040B0
Caspofungin,0502040C0
Griseofulvin,0502050B0
Terbinafine hydrochloride,0502050C0
Other HIV infection preparations,050301000
Lamivudine and zidovudine,0503010A0
Emtricitabine and tenofovir disoproxil,0503010AA
Tipranavir,0503010AB
Darunavir,0503010AC
Maraviroc,0503010AD
Raltegravir,0503010AE
Etravirine,0503010AF
Rilpivirine,0503010AG
Dolutegravir,0503010AH
Cobicistat,0503010AI
Elvitegravir,0503010AJ
Darunavir/cobicistat,0503010AK
Atazanavir and cobicistat,0503010AL
Emtricitabine and tenofovir alafenamide,0503010AM
Efavirenz/emtricitabine/tenofovir disoproxil,0503010AN
Dolutegravir/rilpivirine,0503010AP
Bictegravir/emtricitabine/tenofovir alafenamide,0503010AQ
Lamivudine/tenofovir disoproxil/doravirine,0503010AS
Doravirine,0503010AT
Dolutegravir/lamivudine,0503010AU
Lamivudine/tenofovir disoproxil,0503010AV
Cabotegravir,0503010AW
Fostemsavir,0503010AX
Raltegravir and Emtricitabine/Tenofovir disoproxil,0503010AY
Nevirapine,0503010B0
Nelfinavir mesilate,0503010C0
Efavirenz,0503010D0
Abacavir,0503010E0
Abacavir/lamivudine/zidovudine,0503010F0
Lopinavir and ritonavir,0503010G0
Tenofovir disoproxil,0503010H0
Amprenavir,0503010I0
Enfuvirtide,0503010J0
Emtricitabine,0503010K0
Atazanavir,0503010L0
Fosamprenavir calcium,0503010M0
Didanosine,0503010N0
Lamivudine,0503010Q0
Saquinavir mesylate,0503010R0
Stavudine,0503010S0
Indinavir,0503010T0
Ritonavir,0503010U0
Zalcitabine,0503010X0
Zidovudine,0503010Y0
Abacavir and lamivudine,0503010Z0
Valaciclovir,0503021A0
Aciclovir sodium,0503021B0
Aciclovir,0503021C0
Inosine pranobex,0503021D0
Famciclovir,0503021E0
Valganciclovir hydrochloride,0503022B0
Cidofovir,0503022C0
Ganciclovir,0503022D0
Foscarnet sodium,0503022E0
Letermovir,0503022F0
Adefovir dipivoxil,0503031A0
Entecavir,0503031B0
Telbivudine,0503031C0
Tenofovir alafenamide,0503031D0
Boceprevir,0503032A0
Telaprevir,0503032B0
Sofosbuvir,0503032C0
Simeprevir,0503032D0
Daclatasvir,0503032E0
Ledipasvir/sofosbuvir,0503032F0
Paritaprevir/ritonavir/ombitasvir,0503032G0
Dasabuvir,0503032H0
Elbasvir/grazoprevir,0503032I0
Sofosbuvir/velpatasvir,0503032J0
Glecaprevir/pibrentasvir,0503032K0
Sofosbuvir/velpatasvir/voxilaprevir,0503032L0
Zanamivir,0503040A0
Oseltamivir phosphate,0503040B0
Amantadine hydrochloride,0503040C0
Baloxavir marboxil,0503040D0
Palivizumab,0503050A0
Ribavirin,0503050B0
Molnupiravir,0503060A0
PF-07321332 with Ritonavir,0503060B0
Artemether with lumefantrine,0504010AA
Piperaquine phosphate/artenimol,0504010AB
Chloroquine phosphate,0504010F0
Chloroquine sulfate,0504010G0
Primaquine,0504010K0
Mefloquine hydrochloride,0504010L0
Proguanil hydrochloride,0504010M0
Pyrimethamine,0504010N0
Pyrimethamine with sulfadoxine,0504010P0
Pyrimethamine with dapsone,0504010Q0
Quinine bisulfate,0504010T0
Proguanil hydrochloride with atovaquone,0504010U0
Quinine dihydrochloride,0504010V0
Quinine hydrochloride,0504010X0
Quinine sulfate,0504010Y0
Chloroquine phosphate with proguanil hydrochloride,0504010Z0
Diloxanide furoate,0504020G0
Mepacrine hydrochloride,0504040M0
Sodium stibogluconate,0504050S0
Paromomycin sulfate,0504050T0
Nifurtimox,0504060A0
Benznidazole,0504060B0
Atovaquone,0504080A0
Pentamidine isetionate,0504080P0
Mebendazole,0505010D0
Piperazine,0505010H0
Levamisole hydrochloride,0505020L0
Albendazole,0505030A0
Praziquantel,0505050P0
Ivermectin,0505060I0
Tiabendazole,0505080F0
Insulin aspart,0601011A0
Insulin Lispro,0601011L0
Soluble insulin (Neutral insulin),0601011N0
Insulin glulisine,0601011P0
Insulin human inhaled,0601011Q0
Insulin human,0601011R0
Insulin glargine/lixisenatide,0601012AB
Biphasic isophane insulin,0601012D0
Biphasic insulin lispro,0601012F0
Insulin zinc suspension,0601012G0
Insulin zinc suspension (Crystalline),0601012N0
Isophane insulin,0601012S0
Protamine zinc insulin,0601012U0
Insulin glargine,0601012V0
Biphasic insulin aspart,0601012W0
Insulin detemir,0601012X0
Insulin degludec,0601012Z0
Glimepiride,0601021A0
Chlorpropamide,0601021E0
Glibenclamide,0601021H0
Gliclazide,0601021M0
Glipizide,0601021P0
Gliquidone,0601021R0
Tolbutamide,0601021X0
Metformin hydrochloride,0601022B0
Acarbose,0601023A0
Vildagliptin,0601023AA
Liraglutide,0601023AB
Saxagliptin,0601023AC
Metformin hydrochloride/sitagliptin,0601023AD
Linagliptin,0601023AE
Linagliptin/metformin,0601023AF
Dapagliflozin,0601023AG
Saxagliptin/metformin,0601023AH
Lixisenatide,0601023AI
Alogliptin/metformin,0601023AJ
Alogliptin,0601023AK
Dapagliflozin/metformin,0601023AL
Canagliflozin,0601023AM
Empagliflozin,0601023AN
Canagliflozin/metformin,0601023AP
Dulaglutide,0601023AQ
Empagliflozin/metformin,0601023AR
Albiglutide,0601023AS
Ins degludec/liraglutide,0601023AU
Saxagliptin/dapagliflozin,0601023AV
Semaglutide,0601023AW
Ertugliflozin,0601023AX
Empagliflozin/linagliptin,0601023AY
Pioglitazone hydrochloride,0601023B0
Guar gum,0601023I0
Repaglinide,0601023R0
Rosiglitazone,0601023S0
Nateglinide,0601023U0
Metformin hydrochloride/rosiglitazone,0601023V0
Metformin hydrochloride/pioglitazone,0601023W0
Sitagliptin,0601023X0
Exenatide,0601023Y0
Metformin hydrochloride/vildagliptin,0601023Z0
Diazoxide,0601040E0
Glucagon,0601040H0
Glucose,0601040I0
Other screening and monitoring agent preparations,060106000
Glucose blood testing reagents,0601060D0
Urine testing reagents,0601060U0
Ketone blood testing reagents,0601060W0
Glucose and ketone blood testing reagents,0601060X0
Thyrotropin alfa,0602010A0
Liothyronine sodium,0602010M0
Levothyroxine sodium,0602010V0
Levothyroxine sodium and liothyronine,0602010Z0
Carbimazole,0602020D0
Iodine,0602020G0
Potassium iodate,0602020H0
Potassium iodide,0602020I0
Propylthiouracil,0602020N0
Fludrocortisone acetate,0603010I0
Dexamethasone phosphate,0603020AA
Methylprednisolone aceponate,0603020AC
Betamethasone,0603020B0
Betamethasone sodium phosphate,0603020C0
Cortisone acetate,0603020F0
Dexamethasone,0603020G0
Dexamethasone sodium phosphate,0603020H0
Deflazacort,0603020I0
Hydrocortisone,0603020J0
Methylprednisolone sodium succinate,0603020K0
Hydrocortisone sodium phosphate,0603020L0
Hydrocortisone sodium succinate,0603020M0
Methylprednisolone,0603020S0
Prednisolone,0603020T0
Prednisone,0603020X0
Triamcinolone acetonide,0603020Z0
Oestrogens conjugated with bazedoxifene,0604011AD
Ethinylestradiol,0604011D0
Estradiol,0604011G0
"Estradiol, estriol and estrone",0604011H0
Estradiol and estriol with progestogen,0604011J0
Estradiol valerate,0604011K0
Estradiol with progestogen,0604011L0
Estriol,0604011M0
Estradiol with cyproterone acetate,0604011N0
Oestrogens conjugated,0604011P0
Oestrogens conjugated with progestogen,0604011Q0
Estropipate,0604011R0
Raloxifene hydrochloride,0604011X0
Tibolone,0604011Y0
Dydrogesterone,0604012F0
Hydroxyprogesterone caproate,0604012J0
Medroxyprogesterone acetate,0604012M0
Norethisterone,0604012P0
Progesterone,0604012S0
Ulipristal acetate (Emergency Contraceptive),0604012U0
Sildenafil (Female Sex Hormone),0604012V0
Dienogest,0604012W0
Other male sex hormone and antagonist preparations,060402000
Dutasteride,0604020B0
Finasteride,0604020C0
Cyproterone acetate,0604020D0
Mesterolone,0604020F0
Methyltestosterone,0604020H0
Testosterone,0604020K0
Testosterone enantate,0604020M0
Testosterone propionate,0604020P0
Testosterone undecanoate,0604020T0
Testosterone esters,0604020U0
Nandrolone decanoate,0604030L0
Oxandrolone,0604030P0
Prasterone,0604030Q0
Androstanalone,0604030S0
Stanozolol,0604030T0
Follitropin alfa and lutropin alfa,0605010AB
Somatorelin,0605010AC
Corifollitropin alfa,0605010AD
Follitropin delta,0605010AF
Chorionic gonadotrophin,0605010D0
Clomifene citrate,0605010G0
Follitropin alfa,0605010I0
Corticotropin,0605010J0
Follitropin beta,0605010K0
Urofollitropin,0605010M0
Menotrophin,0605010N0
Gonadorelin,0605010P0
Protirelin,0605010R0
Somatropin,0605010S0
Tetracosactide,0605010T0
Sermorelin acetate,0605010U0
Choriogonadotropin alfa,0605010X0
Lutropin alfa,0605010Y0
Pegvisomant,0605010Z0
Desmopressin acetate,0605020E0
Terlipressin,0605020T0
Argipressin,0605020W0
Tolvaptan,0605020Y0
Calcitonin (Salmon),0606010T0
Teriparatide,0606010U0
Parathyroid hormone,0606010V0
Other bisphosphonate and other preparations,060602000
Alendronic acid,0606020A0
Romosozumab,0606020AA
Etidronate disodium,0606020C0
Pamidronate disodium,0606020P0
Risedronate sodium,0606020R0
Sodium clodronate,0606020T0
Tiludronic acid,0606020U0
Zoledronic acid,0606020V0
Ibandronic acid,0606020W0
Strontium ranelate,0606020X0
Alendronic acid/colecalciferol,0606020Y0
Denosumab,0606020Z0
Bromocriptine,0607010B0
Cabergoline,0607010C0
Quinagolide hydrochloride,0607010T0
Buserelin,0607020B0
Danazol,0607020C0
Cetrorelix,0607020D0
Gestrinone,0607020F0
Nafarelin acetate,0607020P0
Ganirelix,0607020W0
Metyrapone,0607030M0
Trilostane,0607030T0
Mecasermin,0607040A0
Metreleptin,0607050A0
Carboprost,0701010D0
Dinoprostone,0701010I0
Ergometrine maleate,0701010L0
Gemeprost,0701010P0
Oxytocin,0701010T0
Carbetocin,0701010W0
Misoprostol (Gynaecology),0701010X0
Alprostadil,0701011D0
Indometacin,0701011E0
Ibuprofen,0701011F0
Mifepristone,0701020K0
Mifepristone/misoprostol,0701021A0
Ritodrine hydrochloride,0701030S0
Atosiban,0701030V0
Other vaginal/vulva changes preparations,070201000
Estriol,0702010F0
Estradiol,0702010G0
Oestrogens conjugated,0702010I0
Diethylstilbestrol,0702010L0
Ospemifene,0702010M0
Secnidazole,0702020AA
Acetic acid,0702020B0
Clindamycin phosphate,0702020E0
Clotrimazole,0702020F0
Econazole nitrate,0702020H0
Fenticonazole nitrate,0702020I0
Miconazole nitrate,0702020P0
Nystatin,0702020T0
Povidone iodine,0702020V0
Preparations for other vaginal infections,0702020W0
Metronidazole,0702020X0
Boric acid,0702020Y0
Dequalinium chloride,0702020Z0
Combined ethinylestradiol 20mcg,0703010E0
Combined ethinylestradiol 30mcg,0703010F0
Combined ethinylestradiol 35mcg,0703010G0
Combined ethinylestradiol 50mcg,0703010H0
Combined mestranol,0703010M0
Phased formulations of ethinylestradiol,0703010P0
Estradiol valandestradiol valerate with dienogest,0703010R0
Estradiol and nomegestrol,0703010S0
Etonogestrel/ethinylestradiol,0703011A0
Etynodiol diacetate,0703021C0
Levonorgestrel,0703021L0
Norethisterone,0703021N0
Norgestrel,0703021P0
Desogestrel,0703021Q0
Medroxyprogesterone acetate,0703022M0
Norethisterone enantate,0703022N0
Etonogestrel,0703022P0
Levonorgestrel,0703023L0
Nonoxinol 9,0703030G0
Levonorgestrel,0703050A0
Ulipristal acetate (Emergency Contraceptive),0703050B0
Alfuzosin hydrochloride,0704010A0
Bethanechol chloride,0704010C0
Distigmine bromide,0704010I0
Indoramin,0704010M0
Terazosin hydrochloride,0704010T0
Tamsulosin hydrochloride,0704010U0
Tamsulosin and dutasteride hydrochloride,0704010V0
Solifenacin/tamsulosin,0704010W0
Duloxetine hydrochloride,0704020AA
Solifenacin,0704020AB
Darifenacin hydrobromide,0704020AC
Fesoterodine fumarate,0704020AD
Mirabegron,0704020AE
Flavoxate hydrochloride,0704020G0
Oxybutynin,0704020J0
Tolterodine,0704020N0
Propiverine hydrochloride,0704020P0
Trospium chloride,0704020Z0
Other urological pain preparations,070403000
Acetohydroxamic acid,0704030A0
Ammonium chloride,0704030C0
Potassium citrate,0704030G0
Sodium citrate,0704030J0
Chlorhexidine gluconate,0704040C0
Chlorhexidine acetate,0704040D0
Dimethyl sulfoxide,0704040F0
Oxybutynin hydrochloride,0704040G0
Mandelic acid,0704040H0
Noxytiolin,0704040U0
Acetylcysteine,0704040W0
Other erectile dysfunction preparations,070405000
Vardenafil,0704050AA
Avanafil,0704050AC
Phentolamine/aviptadil,0704050AD
Alprostadil,0704050B0
Apomorphine hydrochloride,0704050G0
Papaverine hydrochloride,0704050J0
Tadalafil,0704050R0
Yohimbine hydrochloride,0704050Y0
Sildenafil (Erectile Dysfunction),0704050Z0
Dapoxetine hydrochloride,0704060A0
Lidocaine/prilocaine (Premature Ejaculation),0704060B0
Calcium folinate,0801000I0
Mesna,0801000T0
Calcium levofolinate,0801000U0
Amifostine,0801000V0
Palifermin,0801000W0
Disodium folinate,0801000X0
Dexrazoxane,0801000Y0
Levofolinic acid,0801000Z0
Busulfan,0801010B0
Carmustine,0801010D0
Chlorambucil,0801010F0
Cyclophosphamide,0801010H0
Estramustine phosphate,0801010J0
Ifosfamide,0801010N0
Lomustine,0801010Q0
Melphalan,0801010S0
Chlormethine hydrochloride,0801010W0
Treosulfan,0801010Z0
Dactinomycin,0801020D0
Bleomycin,0801020G0
Daunorubicin,0801020J0
Doxorubicin hydrochloride,0801020K0
Epirubicin hydrochloride,0801020N0
Idarubicin hydrochloride,0801020P0
Mitomycin,0801020Q0
Mitoxantrone,0801020R0
Clofarabine,0801030AA
Nelarabine,0801030AB
Azacitidine,0801030AC
Tegafur/gimeracil/oteracil,0801030AD
Decitabine,0801030AE
Trifluridine/tipiracil,0801030AF
Gilteritinib,0801030AG
Cladribine,0801030C0
Cytarabine,0801030D0
Fluorouracil (Antimetabolites),0801030H0
Mercaptopurine,0801030L0
Methotrexate,0801030P0
Tegafur,0801030S0
Tioguanine,0801030T0
Capecitabine,0801030V0
Fludarabine phosphate,0801030W0
Gemcitabine,0801030X0
Pemetrexed,0801030Y0
Raltitrexed,0801030Z0
Etoposide,0801040D0
Vinblastine sulfate,0801040H0
Vincristine sulfate,0801040M0
Vindesine sulfate,0801040Q0
Vinorelbine,0801040R0
Imatinib mesilate,0801050AA
Bexarotene,0801050AB
Bortezomib,0801050AC
Trastuzumab,0801050AD
Erlotinib,0801050AE
Topotecan,0801050AF
Cetuximab,0801050AG
Porfimer sodium,0801050AH
Arsenic,0801050AI
Sorafenib,0801050AJ
Temoporfin,0801050AK
Oxaliplatin,0801050AL
Sunitinib,0801050AM
Dasatinib,0801050AN
Bevacizumab,0801050AP
Panitumumab,0801050AR
Nilotinib,0801050AS
Lapatinib,0801050AT
Temsirolimus,0801050AU
Trabectedin,0801050AV
Gefitinib,0801050AW
Everolimus,0801050AX
Pazopanib,0801050AZ
Pegaspargase,0801050BA
Eribulin,0801050BB
Ipilimumab,0801050BC
Vemurafenib,0801050BD
Paclitaxel albumin,0801050BE
Catumaxomab,0801050BF
Vandetanib,0801050BG
Pipobroman,0801050BH
Ruxolitinib,0801050BI
Axitinib,0801050BJ
Pertuzumab,0801050BK
Bosutinib,0801050BL
Vismodegib,0801050BM
Regorafenib,0801050BN
Afatinib,0801050BP
Ponatinib,0801050BQ
Cabozantinib,0801050BR
Ibrutinib,0801050BS
Nintedanib,0801050BT
Asparaginase,0801050BU
Lenvatinib,0801050BV
Panobinostat,0801050BW
Olaparib,0801050BY
Ramucirumab,0801050BZ
Amsacrine,0801050C0
Pembrolizumab,0801050CA
Palbociclib,0801050CB
Ixazomib,0801050CC
Alectinib,0801050CD
Inotuzumab,0801050CE
Avelumab,0801050CF
Osimertinib,0801050CG
Trametinib,0801050CH
Cobimetinib,0801050CI
Niraparib,0801050CJ
Midostaurin,0801050CK
Abemaciclib,0801050CL
Encorafenib,0801050CM
Binimetinib,0801050CN
Brigatinib,0801050CP
Dacomitinib,0801050CQ
Ribociclib,0801050CR
Docetaxel,0801050D0
Carboplatin,0801050F0
Cisplatin,0801050I0
Crisantaspase,0801050J0
Dacarbazine,0801050L0
Hydroxycarbamide,0801050P0
Irinotecan hydrochloride,0801050Q0
Mitotane,0801050R0
Pentostatin,0801050S0
Procarbazine hydrochloride,0801050U0
Paclitaxel,0801050V0
Razoxane,0801050W0
Tretinoin,0801050X0
Temozolomide,0801050Y0
Daunorubicin/cytarabine,0801060A0
Azathioprine,0802010G0
Mycophenolate mofetil,0802010M0
Mycophenolic sodium,0802010N0
Basiliximab,0802020D0
Ciclosporin,0802020G0
Tacrolimus,0802020T0
Sirolimus,0802020U0
Daclizumab,0802020V0
Antithymocyte immunoglobulin,0802020X0
Belatacept,0802020Y0
Alemtuzumab,0802030E0
Rituximab,0802030F0
Obinutuzumab,0802030G0
Peginterferon alpha,0802040A0
Thalidomide (Immunomodulating),0802040AA
Histamine dihydrocloride,0802040AB
Canakinumab,0802040AC
Fingolimod,0802040AD
Dabrafenib,0802040AI
Pomalidomide,0802040AJ
Dimethyl fumar,0802040AK
Teriflunomide,0802040AL
Siltuximab,0802040AM
Peginterferon beta,0802040AP
Aldesleukin,0802040AQ
Nivolumab,0802040AT
Cladribine (Immunomodulating),0802040AY
Daclizumab (Immunomodulating),0802040AZ
Tivozanib,0802040BA
Siponimod,0802040BB
Ropeginterferon alfa,0802040BC
Interferon alpha,0802040J0
Interferon beta,0802040M0
Glatiramer acetate,0802040U0
Natalizumab,0802040W0
Bacillus calmette-guerin (B.C.G.),0802040X0
Lenalidomide,0802040Y0
Interferon gamma,0802040Z0
Fosfestrol tetrasodium,0803010D0
Diethylstilbestrol,0803010K0
Gestonorone hexanoate,0803020D0
Medroxyprogesterone acetate,0803020H0
Megestrol acetate,0803020L0
Testolactone,0803030T0
Aminoglutethimide,0803041A0
Fulvestrant,0803041AA
Anastrozole,0803041B0
Exemestane,0803041C0
Letrozole,0803041L0
Tamoxifen citrate,0803041S0
Toremifene citrate,0803041U0
Bicalutamide,0803042A0
Buserelin,0803042B0
Cyproterone acetate,0803042E0
Flutamide,0803042H0
Goserelin acetate,0803042K0
Leuprorelin acetate,0803042N0
Triptorelin acetate,0803042P0
Histrelin acetate,0803042Q0
Degarelix,0803042R0
Triptorelin embonate,0803042S0
Abiraterone,0803042T0
Enzalutamide,0803042U0
Apalutamide,0803042V0
Triptorelin,0803042W0
Octreotide acetate,0803043N0
Lanreotide,0803043P0
Pasireotide,0803043Q0
Other oral iron preparations,090101100
Compound iron preparations,0901011C0
Ferrous fumarate,0901011F0
Ferrous gluconate,0901011H0
Ferrous glycine sulfate,0901011K0
Ferrous sulfate,0901011P0
Iron and folic acid,0901011Q0
Higher folic acid content,0901011R0
Polysaccharide-iron complex,0901011S0
Sodium feredetate,0901011W0
Ferrous calcium citrate,0901011X0
Ferric maltol,0901011Y0
Iron sucrose,0901012I0
Iron dextran,0901012K0
Iron sorbitol,0901012M0
Iron carboxymaltose,0901012P0
Ferumoxytol,0901012Q0
Cyanocobalamin,0901020D0
Folic acid,0901020G0
Hydroxocobalamin,0901020N0
Mecobalamin,0901020T0
Epoetin alfa,0901030D0
Epoetin beta,0901030E0
Oxymetholone,0901030H0
Deferiprone,0901030I0
Darbepoetin alfa,0901030J0
Deferasirox,0901030K0
Epoetin delta,0901030L0
Eculizumab,0901030M0
Methoxy polyethylene glycol-epoetin beta,0901030N0
Desferrioxamine mesilate,0901030P0
Epoetin zeta,0901030Q0
Hydroxycarbamide,0901030R0
Epoetin theta,0901030S0
Ravulizumab,0901030T0
Roxadustat,0901030U0
Anagrelide hydrochloride,0901040A0
Romiplostim,0901040B0
Eltrombopag,0901040C0
Lusutrombop,0901040D0
Filgrastim,0901060I0
Lenograstim,0901060K0
Molgramostim,0901060N0
Pegfilgrastim,0901060P0
Lipegfilgrastim,0901060Q0
Plerixafor,0901070B0
Patiromer calcium,0902011AA
Sodium zirconium cyclosilicate,0902011AB
Calcium polystyrene sulfonate,0902011L0
Sodium polystyrene sulfonate,0902011P0
Potassium chloride,0902011U0
Oral rehydration salts,0902012H0
Sodium chloride,0902012L0
Potassium bicarbonate,0902013P0
Sodium bicarbonate,0902013S0
Glucose,0902021G0
Potassium chloride,0902021N0
Sodium bicarbonate,0902021Q0
Sodium chloride,0902021S0
Sodium lactate,0902021V0
Water for injection,0902021X0
Ringers,0902021Y0
Albumin solution,0902022A0
Gelatin,0902022I0
Other intravenous nutrition preparations,090300000
Intravenous nutrition supplements,0903000P0
L-Alanyl-l-gutamine,0903000Q0
Addaven (Generic),0903000R0
Other food for special diet preparations,090401000
Low protein mixes,090401010
Low protein grains/flours,090401020
Gluten free mixes,090401030
Gluten free/low protein cooking aids,090401050
Gluten free/wheat free grains/flours,090401070
Gluten free/wheat free pasta,090401080
Maltodextrin,090401090
Gluten free/wheat free biscuits,0904010A0
Gluten free/wheat free mixes,0904010AA
Gluten free/wheat free cooking aids,0904010AB
Gluten free/wheat free cereals,0904010AC
Gluten free/wheat free cakes/pastries,0904010AD
Gluten free/low protein cereals,0904010AE
Gluten free/low protein sweet/savoury,0904010AF
Gluten free/wheat free meals,0904010AG
Gluten free/wheat free/low protein pasta,0904010AH
Gluten free/wheat free/low protein biscuits,0904010AI
Gluten free/wheat free/low protein mixes,0904010AJ
Glten free /wheat/free /low/protein cooking aids,0904010AK
Low protein meals,0904010AL
Low protein desserts,0904010AM
Low protein miscellaneous,0904010AN
Low protein cereals,0904010AP
Low protein pastas,0904010AQ
Low protein cooking aids,0904010AR
Low protein cakes,0904010AS
Low protein snacks,0904010AT
Gluten free/wheat free snacks,0904010AU
Wheat free cakes/pastries,0904010AV
Sucrose,0904010AW
Low protein risotto,0904010AX
Gluten free/low protein drink,0904010AY
Gluten free/low protein mixes,0904010E0
Gluten free/low protein bread,0904010F0
Fructose,0904010G0
Gluten free breads,0904010H0
Gluten free biscuits,0904010I0
Gluten free grains/flours,0904010J0
Glucose,0904010K0
Gluten free cakes/pastries,0904010L0
Gluten free pastas,0904010Q0
Gluten free/low protein pasta,0904010T0
Gluten free/wheat free bread,0904010U0
Gluten free/low protein grains/flours,0904010V0
Low protein biscuits,0904010W0
Low protein breads,0904010X0
Gluten free/low protein biscuits,0904010Z0
Enteral nutrition,090402000
Other calcium supplement preparations,090501100
Calcium chloride,0905011B0
Calcium carbonate,0905011D0
Calcium gluconate,0905011K0
Calcium lactate,0905011R0
Calcium phosphate,0905011U0
Hydroxyapatite,0905011Z0
Trisodium edetate,0905012H0
Cinacalcet hydrochloride,0905012I0
Other magnesium preparations,090501300
Magnesium aspartate,0905013A0
Magnesium chloride,0905013D0
Magnesium citrate,0905013F0
Magnesium glycerophosphate,0905013G0
Magnesium orotate,0905013M0
Magnesium sulfate,0905013N0
Magnesium lactate,0905013P0
Other phosphate supplement preparations,090502100
Monobasic potassium phosphate,0905021F0
Dibasic potassium phosphate,0905021I0
Sodium dihydrogen phosphate dihydrate,0905021L0
Sodium glycerophosphate,0905021S0
Calcium acetate,0905022C0
Calcium carbonate,0905022H0
Sevelamer,0905022S0
Lanthanum carbonate,0905022T0
Calcium acetate/magnesium carbonate,0905022U0
Colestilan,0905022V0
Sucroferric oxyhydroxide,0905022W0
Sodium fluoride,0905030G0
Stannous fluoride,0905030M0
Other zinc preparations,090504100
Zinc sulfate,0905041Q0
Zinc sulfate monohydrate,0905041R0
Other chromium preparations,090504200
Other kelp preparations,090504400
Other selenium preparations,090504700
Other mineral formulation preparations,090504800
Selenium,0905050A0
Other vitamin A preparations 0906011,090601100
Vitamin A,0906011D0
Cod liver oil,0906011H0
Halibut liver oil,0906011L0
Betacarotene,0906012B0
Nicotinamide,0906022K0
Other pantothenic acid preparations,090602300
Pantothenic acid (Calcium pantothenate),0906023N0
Pyridoxine hydrochloride,0906024N0
Other riboflavine (B2) preparations,090602500
Riboflavin,0906025P0
Thiamine hydrochloride,0906026M0
Vitamin B and C injection,0906026V0
